en,tw,cn,type,clues,avoid_clues,note
nanometer/nm,奈米,納米,cross_strait,,,SI 長度單位 (10^-9 m)；製程技術語境最常見 (如 90 奈米、7 奈米製程)
purified water,純水,純淨水,cross_strait,,,
prime,質數,素數,cross_strait,,,
Sony Mobile,索尼行動,索尼移動,cross_strait,,,
Somalia,索馬利亞,索馬裡,cross_strait,,,@geo country (國名)
Somalia,索馬利亞,索馬里,cross_strait,,,@geo country (國名)
terminal,終端機,終端,cross_strait,,,
end user,終端使用者,終端用戶,cross_strait,,,
terminator,終端子,終結器,cross_strait,程式；軟體；系統；電腦；網路,,
component,元件,組件,cross_strait,,,
combo box,組合方塊；複合方塊；複合框,組合框,cross_strait,,,
group hint,群組提示,組提示,cross_strait,程式；軟體；系統；電腦；網路,,
consensus,共識,統一意見,cross_strait,,,
bind,繫結,綁定,cross_strait,事件；資料；函式；回呼；介面,,data binding = 資料繫結；event binding = 事件繫結。依語境自行斟酌
bundle,組合,綑綁,cross_strait,,,
syndrome,症候群,綜合徵,cross_strait,,,
green / organic food,健康食品,綠色食品,cross_strait,,,
Network Neighborhood,網路芳鄰,網上鄰居,cross_strait,,,
network card (NIC),網路卡,網卡,cross_strait,,,
internet cafe,網咖,網吧,cross_strait,,,
gridline,格線,網格線,cross_strait,程式；軟體；系統；電腦；網路,,
netizen,網友,網民,cross_strait,,,
network,網路,網絡,cross_strait,,,
network stack,網路堆疊,網絡棧,cross_strait,,,"tw: 網路堆疊, cn: 網絡棧/網路棧"
network adapter,網路介面卡,網絡適配器,cross_strait,,,
network stack,網路堆疊,網路棧,cross_strait,,,"tw: 網路堆疊, cn: 網絡棧/網路棧 (OpenCC 可能保留「棧」)"
gateway,閘道器,網關,cross_strait,,,
webpage snapshot,頁庫存檔,網頁快照,cross_strait,,,
thread,執行緒,線程,cross_strait,,,
thread pool,執行緒池,線程池,cross_strait,,,
programming,程式設計,編程,cross_strait,,,
programming language,程式語言,編程語言,cross_strait,,,
compile time,編譯時期,編譯時,cross_strait,,,
compile time,編譯時期,編譯期,cross_strait,,,
cache,快取,緩存,cross_strait,,,快取有「快速存取」的意涵。詞源是法裔北美獵人的俚語「儲存物品的秘密場所」。簡體「緩存」(高速緩衝存儲器的簡稱) 混淆 cache 與 buffer 的概念，「高速」和「緩存」更是語意衝突
buffer allocation,緩衝區配置,緩衝區分配,cross_strait,,,compound:「緩衝區」語境自動觸發「分配→配置」(@seealso 記憶體分配)
thumbnail,縮圖,縮略圖,cross_strait,,,
short URL,縮網址,縮略網址,cross_strait,,,
indent,縮排,縮進,cross_strait,,,
bus,匯流排,總線,cross_strait,,,
can't hold it in,忍不住,繃不住,cross_strait,,,
rein (char variant),韁,繮,variant,,,MoE 標準字體 (@example 韁繩)
just / only then (char variant),才,纔,variant,,,MoE 標準字體 (「纔」為古體)
default,預設,缺省,cross_strait,,,
page fault,分頁錯誤,缺頁例外,cross_strait,,,page fault 的標準 tw 譯法為「分頁錯誤」。「缺頁」為 cn 用語 (@seealso 缺頁異常)
page fault,分頁錯誤,缺頁異常,cross_strait,,,page fault 的標準 tw 譯法為「分頁錯誤」。「缺頁」為 cn 用語，「異常」在此指 fault 而非 exception
confidence,可信度,置信度,cross_strait,程式；軟體；系統；電腦；網路,,
markup language,標示語言,置標語言,cross_strait,,,
Federal Reserve System (Fed),美國聯準會,美聯儲,cross_strait,,,全名為「美國聯邦準備理事會」(Federal Reserve System)；cn 音譯/縮略「聯儲」，tw 慣用「聯準會」
group (char variant),群,羣,variant,,,MoE 標準字體 (@example 群組、群眾)
group chat,群組聊天,群聊,cross_strait,,,
translator,轉譯器,翻譯器,cross_strait,編譯；原始碼；程式碼；直譯器；代碼,,
Laos,寮國,老撾,cross_strait,,,@geo country (國名)
presbyopia,老花眼,老視眼,cross_strait,,,
Santiago/San Diego,聖地牙哥,聖地亞哥,cross_strait,,,@geo city (城市)
Saint Kitts and Nevis,聖克里斯多福及尼維斯,聖基茨和尼維斯,cross_strait,,,@geo country (國名)
Saint Vincent and the Grenadines,聖文森及格瑞那丁,聖文森特和格林納丁斯,cross_strait,,,@geo country (國名)
Saint Lucia,聖露西亞,聖盧西亞,cross_strait,,,@geo country (國名)
San Marino,聖馬利諾,聖馬力諾,cross_strait,,,@geo country (國名)
online transaction processing,線上異動處理,聯機交易處理,cross_strait,,,
online analytical processing,線上分析處理,聯機分析處理,cross_strait,,,OLAP
contact person,聯絡人,聯系人,cross_strait,程式；軟體；系統；電腦；網路,,
contact support,聯絡客服,聯繫客服,cross_strait,,,客服 CTA；避免把日常用法「聯繫」一概改寫
contact us,聯絡我們,聯繫我們,cross_strait,,,客服 CTA / contact us copy；避免把日常用法「聯繫」一概改寫
contact method,聯絡方式,聯繫方式,cross_strait,,,聯絡資訊欄位標籤；避免把日常用法「聯繫」一概改寫
call history,通話記錄,聯繫歷史,cross_strait,,,
contact channel,聯絡管道,聯繫管道,cross_strait,,,聯絡資訊欄位標籤；避免把日常用法「聯繫」一概改寫
contact information,聯絡資訊,聯繫資訊,cross_strait,,,聯絡資訊欄位標籤；避免把日常用法「聯繫」一概改寫
contact phone,聯絡電話,聯繫電話,cross_strait,,,聯絡資訊欄位標籤；避免把日常用法「聯繫」一概改寫
sound card,音效卡,聲卡,cross_strait,,,
declaration,宣告,聲明,cross_strait,變數；變量；函式；函數；型別；類別；類型；屬性；方法；介面；接口；模組,,variable/type declaration 語境；日常語境「發表聲明」(public statement) 為正確 tw 用法
hearing,公聽會,聽證會,cross_strait,,,
meat pigeon,食用鴿,肉食鴿,cross_strait,,,
Kenya,肯亞,肯尼亞,cross_strait,,,@geo country (國名)
pancreas,胰臟,胰腺,cross_strait,,,
lip (char variant),唇,脣,variant,,,MoE 標準字體 (@example 嘴唇)
offline,離線,脫機,cross_strait,,,
wild imagination,異想天開；出其不意,腦洞大開,cross_strait,,,
brain drain,人才外流,腦流失,cross_strait,,,
scaffolding,鷹架,腳手架,cross_strait,,,
temporary object,暫時物件,臨時對象,cross_strait,,,
temporary household registration,流動戶口,臨時戶口,cross_strait,,,
automatic transmission,自排,自動檔,cross_strait,,,
auto-rotate,自動旋轉螢幕,自動轉屏,cross_strait,,,
customize,自訂,自定義,cross_strait,,,
bottom-up,由下而上,自底向上,cross_strait,,,
bicycle,腳踏車,自行車,cross_strait,,,
adaptive,適應性,自適應,cross_strait,,,
self-service market,超級市場,自選市場,cross_strait,,,
top-down,由上而下,自頂向下,cross_strait,,,
desktop computer,桌上型電腦,臺式機,cross_strait,,,
report (complaint),檢舉,舉報,cross_strait,,,
spaceflight,航空太空,航天,cross_strait,,,
space shuttle,太空梭,航天飛機,cross_strait,,,
chip,晶片,芯片,cross_strait,,,
screen glitch/garbled display,破圖,花屏,cross_strait,,,
brace (curly brace),大括弧；大括號,花括弧,cross_strait,,,
brace (curly brace),大括弧；大括號,花括號,cross_strait,,,
NVIDIA,輝達,英偉達,cross_strait,,,
Commonwealth of Nations,大英國協,英聯邦,political_coloring,,,
alpaca,羊駝,草泥馬,cross_strait,,,
Mozart,莫札特,莫差特,cross_strait,,,
Mozambique,莫三比克,莫桑比克,cross_strait,,,@geo country (國名)
menu,選單,菜單,confusable,點選；單擊；按鈕；下拉；視窗；窗口；工具列；右鍵,,限 UI 語境。餐廳菜單仍用「菜單」
recipe/cookbook,食譜,菜譜,cross_strait,,,
pineapple,鳳梨,菠蘿,cross_strait,,麵包；包,
waffle,鬆餅,華夫餅,cross_strait,,,
Lesotho,賴索托,萊索托,cross_strait,,,@geo country (國名)
Lesotho,賴索托,萊索託,cross_strait,,,@geo country (國名)
adorably cute,很可愛,萌萌噠,cross_strait,,,
trillion,兆,萬億,cross_strait,,,兆 = 10^12
World Wide Web (WWW),全球資訊網,萬維網,cross_strait,,,
Vientiane,永珍,萬象,cross_strait,,,@geo city (城市)
Montreal,蒙特婁,蒙特利爾,cross_strait,,,@geo city (城市)
Bill Gates,蓋茲,蓋茨,cross_strait,,,@person tech (科技業)
ginseng (char variant),參,蔘,variant,,,MoE 標準字體 (@example 人參)。「參」另有參加、參考之義
"Wei (plant name, char variant)",蒍,蔿,variant,,,MoE 標準字體 (植物名)
Schrödinger,薛丁格,薛定諤,cross_strait,,,@person science (物理)
blue screen (BSOD),藍色當機畫面,藍屏,cross_strait,,,
Suriname,蘇利南,蘇裡南,cross_strait,,,@geo country (國名)
Suriname,蘇利南,蘇里南,cross_strait,,,@geo country (國名)
handler,處理常式,處理函數,cross_strait,,,
virtual memory,虛擬記憶體,虛內存,cross_strait,,,
virtual function,虛擬函式,虛函數,cross_strait,,,
virtual memory,虛擬記憶體,虛存,cross_strait,,,
virtual private network,虛擬私人網路,虛擬專用網,cross_strait,,,
virtual file tree,虛擬檔案樹,虛擬文件樹,cross_strait,,,compound: cn 文件 = tw 檔案
virtual machine (VM),虛擬機器,虛擬機,cross_strait,,,區分通用的 machine 和特化的 engine (@seealso 發動機)
Spider Solitaire,連環新接龍,蜘蛛紙牌,cross_strait,,,
screen advertisement,電視廣告,螢幕廣告,cross_strait,,,
screwdriver,螺絲起子,螺絲批,cross_strait,,,
multitude (char variant),眾,衆,variant,,,MoE 標準字體 (@example 眾人、大眾)
industry,產業,行業,cross_strait,,,
occupational disease,職業病,行業病,cross_strait,醫療；門診；病患；藥物；診所,,
sanitary pad,衛生棉,衛生巾,cross_strait,,,
disposable chopsticks,免洗筷,衛生筷,cross_strait,,,
sticker pack,貼圖包,表情包,cross_strait,聊天；下載；傳送；LINE,,
expression,表示式；運算式,表達式,cross_strait,,,
tea bag,茶包,袋泡茶,cross_strait,,,
passive smoking,抽二手菸,被動吸菸,cross_strait,,,
overloaded operator,多載化運算子,被重載的操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
cracking (chemistry),裂解,裂化,cross_strait,,,
inside (char variant),裡,裏,variant,,,MoE 標準字體 (@example 裡面、心裡)
patch,修補程式；更新檔,補丁,cross_strait,,,修正程式碼缺陷 (patch) vs 軟體版本更新 (update)
two's complement,二補數,補碼,cross_strait,,,
install an operating system,安裝系統,裝系統,cross_strait,,,安裝作業系統
device number,裝置號碼,裝置號,cross_strait,,,
device driver,裝置驅動程式,裝置驅動,cross_strait,,,tw 慣用「裝置驅動程式」，省略「程式」二字易與動詞混淆
photocopy,影印,複印,cross_strait,,,
photocopier,影印機,複印機,cross_strait,,,
checkbox,核取按鈕；方鈕,複選按鈕,cross_strait,,,
checkbox,核取方塊,複選框,cross_strait,,,
shirt,襯衫,襯衣,cross_strait,,,
tomato,番茄,西紅柿,cross_strait,,,
broccoli,青花菜,西蘭花,cross_strait,,,
check button,核取按鈕,覆選按鈕,cross_strait,,,
checkbox,核取方塊,覆選框,cross_strait,程式；軟體；系統；電腦；網路,,
copper-clad laminate,銅箔基板,覆銅板,cross_strait,程式；軟體；系統；電腦；網路,,
verify / check (char variant),核,覈,variant,,,MoE 標準字體 (@example 審核、核實)
normalization,規格化,規範化,cross_strait,程式；軟體；系統；電腦；網路,,
normal matrix,正規矩陣,規範方陣,cross_strait,,,
view,檢視,視圖,cross_strait,,,
video,影片；影音；視訊,視頻,cross_strait,,,"指 video content 時用「影片」或「影音」；指 video call/conference 時用「視訊」(@seealso 視頻通話, 視頻會議)。無線電頻率 (RF) 與音頻 (AF) 是完全不同的物理現象，混淆頻率與內容的概念"
video conference,視訊會議,視頻會議,cross_strait,,,「視訊」指即時影音通訊 (@seealso 視頻)
video call,視訊通話,視頻通話,cross_strait,,,「視訊」指即時影音通訊 (@seealso 視頻)
video phone,視訊電話,視頻電話,cross_strait,,,
decompress/unzip,解壓縮,解壓,cross_strait,檔案；壓縮；zip；rar,,
dereference,解除參照；取值,解引用,cross_strait,程式；軟體；系統；電腦；網路,,在 C 或 C++ 程式語言一類風格的程式語言，用「取值」簡單且明確
interpreter,直譯器；解譯器,解釋器,cross_strait,腳本；Python；執行；程式碼；直譯；代碼,,
interpreted language,直譯語言,解釋型語言,cross_strait,,,
touchscreen,觸控螢幕,觸控屏,cross_strait,程式；軟體；系統；電腦；網路,,
touch,觸控,觸摸,cross_strait,螢幕；手勢；事件；介面；裝置,心靈；感動；情感,tw「觸摸」= physical touch；IT/UI touch 改「觸控」
touch screen,觸控螢幕,觸摸屏,cross_strait,,,
customization,客製化,訂製化,cross_strait,程式；軟體；系統；電腦；網路,,
plan,計畫,計劃,cross_strait,,,
computer,電腦,計算機,cross_strait,,,一般語境「計算機」→「電腦」；科目名稱如「計算機結構」(computer architecture) 保留原詞
computer security,電腦保安,計算機安全,cross_strait,,,
computer science,電腦科學,計算機科學,cross_strait,,,
computer architecture,計算機結構,計算機體系結構,cross_strait,,,電腦科學的科目名稱
system tray,系統匣,託盤,cross_strait,通知；圖示；工作列；系統,,system tray
Memory Stick,MS 記憶卡；記憶卡,記憶棒,cross_strait,,,
memory allocation,記憶體配置,記憶體分配,cross_strait,,,compound:「記憶體」語境自動觸發「分配→配置」，無需 context_clues 窗口比對
access,存取,訪問,cross_strait,記憶體；指標；陣列；資料；位址；磁碟；檔案；權限；核心；使用者空間；CPU；暫存器；快取,,「訪問」僅指 visit/interview，computing 語境語意不同
access function,存取函式,訪問函數,cross_strait,,,
access level,存取級別,訪問級別,cross_strait,,,
device,裝置,設備,cross_strait,,,大型設施仍可用「設備」
device number,裝置號碼,設備號,cross_strait,,,
device driver,裝置驅動程式,設備驅動,cross_strait,,,"compound:設備＋驅動 一次轉換為「裝置驅動程式」，避免拆開後僅得「裝置驅動」(@seealso 設備, 驅動, 裝置驅動)"
settings,設定,設置,cross_strait,選項；參數；頁面；帳號；介面,路障；崗哨；關卡；據點,tw「設置」= set up physically (設置路障)；IT settings 改「設定」
design pattern,設計樣式；設計範式,設計模式,cross_strait,GoF；物件導向；面向對象；軟體；軟件,,限軟體設計語境。「設計模式」在 tw 也常用，此規則僅在明確軟體設計語境提示
permission,權限,許可權,cross_strait,,,「權限」為 tw 慣用詞
license,授權條款,許可證,cross_strait,MIT；GPL；Apache；開源；授權,,限 IT 語境。軟體授權 (software license) 應譯「授權條款」，法律語境可用「許可證」
keygen,序號產生器,註冊機,cross_strait,,,
registry,登錄檔,註冊表,cross_strait,視窗；微軟；系統；登錄,,限 Windows 語境
logout/sign out,登出,註銷,cross_strait,,,「註銷」指永久刪除帳號，與 logout/sign out 語意不同
evaluation system / online judge,解題系統,評測系統,cross_strait,,,
phrase,片語,詞組,cross_strait,,,
statement,敘述；陳述式；述句,語句,cross_strait,代碼；程式碼；編譯；執行；迴圈；循環；條件,,語言學的「語句」為正確 tw 用法
block,區塊；區段,語句塊,cross_strait,,,
semantic web,語意網,語義網,cross_strait,程式；軟體；系統；電腦；網路,,
language pack,語言套件,語言包,cross_strait,程式；軟體；系統；電腦；網路,,
hourly pay,鐘點費,課時工資,cross_strait,,,
modem,數據機,調制解調器,cross_strait,,,
schedule,排程,調度,cross_strait,,,
scheduler,排程器,調度程序,cross_strait,,,
call/invoke,呼叫,調用,cross_strait,函式；函數；API；程式；方法；介面,,cn 調用 = call/invoke；tw 用「呼叫」(程式)、「調閱」(法律)、「調派」(行政)
call operator,call 運算子,調用操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
call stack,呼叫堆疊,調用棧,cross_strait,,,"tw: 呼叫堆疊, cn: 調用棧"
palette,調色盤,調色板,cross_strait,,,
modulation,調變,調製,cross_strait,,,
modem,數據機,調製解調器,cross_strait,,,
debug,除錯,調試,cross_strait,,,tw 標準用語為除錯；偵錯偏重找出錯誤，除錯涵蓋找出與修正，為 debug 的慣用翻譯
debugger,除錯器,調試器,cross_strait,,,
Do Not Track,停止追蹤,請勿追蹤,cross_strait,,,
one who speaks cryptically,拐彎抹角；含糊不清,謎語人,cross_strait,,,
certificate,憑證,證書,confusable,SSL；TLS；HTTPS；數位；數字；加密；金鑰；密鑰；伺服器,,限 digital/SSL 語境。畢業/資格證書為正確 tw 用法
warning message,警告訊息,警告信息,cross_strait,,,
card reader,讀卡機,讀卡器,cross_strait,程式；軟體；系統；電腦；網路,,
read file,讀取檔案,讀取文件,cross_strait,,,compound: cn 文件 = tw 檔案 (@seealso 讀文件)
read file,讀取檔案,讀文件,cross_strait,檔案；路徑；I/O；磁碟；目錄；open；read；write,,限檔案 I/O 語境。「閱讀文件」(read documentation) 不適用
variable,變數,變量,cross_strait,,,
Benin,貝南,貝寧,cross_strait,,,@geo country (國名)
Today view/widget screen,資訊主頁,負一屏,cross_strait,,,
negative growth,負成長,負增長,cross_strait,,,
load balancing,負載平衡,負載均衡,cross_strait,伺服器；流量；叢集；分散,,
greedy algorithm,貪婪法,貪心法,cross_strait,程式；軟體；系統；電腦；網路,,
data binding,資料繫結,資料綁定,cross_strait,,,
resource allocation,資源配置,資源分配,cross_strait,系統；伺服器；網路；雲端；叢集；CPU；運算；核心；行程；記憶體,,compound:「資源」語境自動觸發「分配→配置」(@seealso 記憶體分配)
file explorer,檔案總管,資源管理器,cross_strait,視窗；微軟；系統；檔案；資料夾,,限 Windows 語境
bulk retail,量販,賣大戶,cross_strait,,,
wholesale size,量販,賣大號,cross_strait,,,
assign,指派,賦值,cross_strait,,,
assignment operator,指派運算子,賦值操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
quality,品質,質量,cross_strait,保證；管理；控制；提升；改善；軟件；軟體；產品；服務；測試,,「質量」在 tw 僅指 mass (物理量)，與 quality 語意不同
quality management,品質管制,質量管理,cross_strait,,,
bill,帳單,賬單,cross_strait,,,
account,帳戶,賬戶,cross_strait,,,cn 用「賬」，tw 用「帳」
account,帳號,賬號,cross_strait,,,
shopping basket,購物車,購物籃,cross_strait,商品；結帳；訂單,,
Zambia,尚比亞,贊比亞,cross_strait,,,@geo country (國名)
day student,通學生,走讀生,cross_strait,,,
gifted child,天才兒童,超常兒童,cross_strait,,,
timeout,逾時,超時,cross_strait,連線；請求；伺服器；回應；秒,,
ultra high definition (UHD),超高畫質,超清,cross_strait,,,
ultrasound,超音波,超聲波,cross_strait,,,
follow-up service,售後服務,跟蹤服務,cross_strait,,,
follow,追蹤,跟隨,cross_strait,,,
drop tower ride,大怒神；自由落體,跳樓機,cross_strait,,,
circuit breaker trip/power trip,跳電,跳閘,cross_strait,,,
leap / eager (char variant),踴,踊,variant,,,MoE 標準字體 (@example 踴躍)
put one down to praise another,自抬身價,踩一捧一,cross_strait,,,
ultra-soft cushioned slippers,發泡拖鞋,踩屎感拖鞋,cross_strait,,,
bungee jumping,高空彈跳,蹦極,cross_strait,,,
ride the hype,跟風；跟隨潮流,蹭熱度,cross_strait,,,
identity card,身分證,身份證,cross_strait,,,MoE 標準用「身分」
software,軟體,軟件,cross_strait,,,
software package,套裝軟體,軟件包,cross_strait,,,
soft packaging,鋁箔包,軟包裝,cross_strait,,,
floppy disk,軟碟,軟盤,cross_strait,,,
floppy drive,軟碟機,軟驅,cross_strait,,,
cram school / tutoring class,補習班,輔導班,cross_strait,,,
consonant,子音,輔音,cross_strait,,,
repost,轉貼,轉帖,cross_strait,,,
turning point,轉捩點,轉折點,cross_strait,,,
forward,轉寄,轉發,cross_strait,,,
forwarding function,轉發函式；轉呼叫函式,轉發函數,cross_strait,,,
escape character,跳脫字元,轉義字符,cross_strait,,,
eyesore,慘不忍睹,辣眼睛,cross_strait,,,
return value,回傳值；回返值,返回值,cross_strait,,,
return type,回傳型別；回返型別,返回類型,cross_strait,,,
cashback,回饋；現金回饋,返現,cross_strait,,,
Dubai,杜拜,迪拜,cross_strait,,,@geo city (城市)
rear-end collision,追撞,追尾,cross_strait,,,
log out,登出,退出登錄,cross_strait,,,
midnight movie,午夜場,通宵電影,cross_strait,,,
generic algorithm,泛型演算法,通用算法,cross_strait,,,
inflation,通膨,通脹,cross_strait,,,
communication card,通話卡,通訊卡,cross_strait,,,
through/via,透過,通過,cross_strait,,考試；審核；法案；檢驗；投票,tw「通過」= pass (通過考試)；僅 via/through 義改「透過」
connect,連線,連接,cross_strait,,,連接埠（port）為正確 tw 慣用語；連接點（articulation/junction point）為圖論術語，均不替換
connector,聯結器,連接器,cross_strait,,,
Continuity,接續互通,連續互通,cross_strait,,,
radix/numeral system,進位制,進制,cross_strait,,,
process,行程,進程,cross_strait,,,行程強調已在執行中的程式實體。「進程」實為 progress (進度/進展)，不宜指 OS process。半導體語境 = 製程。program 是靜態，process 是動態
process abstraction,行程抽象,進程抽象,cross_strait,,,
process management,行程管理,進程管理,cross_strait,,,"作業系統術語；cn: 進程管理, tw: 行程管理"
operate,營運,運營,cross_strait,,,
operator,運算子,運算符,cross_strait,,,
DevOps/operations,維運,運維,cross_strait,,,
run/execute,執行,運行,cross_strait,程式；軟體；服務；腳本；命令,軌道；列車；班次,
runtime,執行時期,運行時,cross_strait,環境；程式庫；函式庫；虛擬機器；例外；型別；容器；框架；錯誤；系統；直譯器；編譯器,,限 IT 語境 (@seealso 運行)
runtime library,執行時期函式庫,運行時庫,cross_strait,,,cn: 運行時庫 (runtime library)；tw: 執行時期函式庫 (@seealso 運行時)
traverse,走訪,遍歷,cross_strait,,,「遍」含「到處/全面」之意，但 traverse 原意僅為 to pass or move over，不隱含「全部」。另「遍歷」已用於 Ergodic theory (遍歷理論)，不宜混用
roller coaster,雲霄飛車,過山車,cross_strait,,,
overfitting,過度擬合,過擬合,cross_strait,程式；軟體；系統；電腦；網路,,
filter,篩選器,過濾器,cross_strait,,,
proceduralization,程序化,過程化,cross_strait,程式；軟體；系統；電腦；網路,,
procedural,程序式,過程式,cross_strait,軟體；系統；電腦；網路,,
procedural programming,程序式程式設計,過程式編程,cross_strait,,,
pedestrian overpass,天橋,過街橋,cross_strait,,,
Dow Jones Index,道瓊指數,道․瓊斯指數,cross_strait,,,
da Vinci,達文西,達芬奇,cross_strait,,,
recursion,遞迴,遞歸,cross_strait,,,
remote,遠端,遠程,cross_strait,,,
remote control,遙控器,遥控器,variant,,,簡→繁字形。遥控器 → 遙控器
adapt,配接；轉接,適配,cross_strait,,,軟體/介面 vs 硬體轉接頭
adapter card,介面卡；配接卡,適配卡,cross_strait,,,
adapter,配接器；介面卡,適配器,cross_strait,,,
select,選取,選中,cross_strait,,,
tab,頁籤,選項卡,cross_strait,,,
condom,保險套,避孕套,cross_strait,,,
marginal statistic,邊際統計量,邊緣統計量,cross_strait,,,
logical volume management,邏輯磁碟區管理,邏輯卷管理,cross_strait,,,LVM
logic device,邏輯裝置,邏輯器件,cross_strait,,,
logical core,邏輯核,邏輯核心,cross_strait,,,compound:logical core = 邏輯核；與實體核對應 (@seealso CPU核心)
logic gate,邏輯閘,邏輯門,cross_strait,,,
email/mailbox,電子信箱；電子郵件,郵箱,cross_strait,,,「郵箱」指實體郵筒，與電子信箱語意不同
mail carrier,郵差,郵遞員,cross_strait,,,
configuration,設定；組態,配置,cross_strait,硬體；韌體；BIOS；路由器；防火牆；網路；交換器；機箱；主機板；插槽；插卡；NIC；PCIe；PCI,記憶體；回收；配置器；malloc；alloc,「硬體/網路配置」tw 用「組態」；「記憶體配置」(allocation) 為正確 tw 用法
configuration file,組態檔,配置文件,cross_strait,設定；系統；伺服器；修改,,
configuration file,設定檔,配置檔,cross_strait,,,
yogurt,優格；發酵乳；優酪乳,酸奶,cross_strait,,,
yogurt,優酪乳,酸牛奶,cross_strait,,,
sampling rate,取樣率,采樣率,cross_strait,程式；軟體；系統；電腦；網路,,
Reagan,雷根,里根,cross_strait,總統；美國；白宮；共和黨；政治,,@person politics (政治人物)
rename,重新命名,重命名,cross_strait,,,
restart/reboot,重新啟動,重啟,cross_strait,系統；電腦；伺服器；服務,,
redirect,重新導向,重定向,cross_strait,,,
intensive care unit (ICU),加護病房,重症監護病房,cross_strait,,,
reinstall,重灌,重裝,cross_strait,,,
overload,多載化,重載,cross_strait,函式；函數；運算子；多載；C++；方法,,
overloaded function,多載化函式,重載的函數,cross_strait,,,
overloaded set,多載集合,重載集合,cross_strait,,,
metal-oxide-semiconductor (MOS),金氧半導體,金屬氧化物半導體,cross_strait,,,
tuna,鮪魚,金槍魚,cross_strait,,,
alms bowl (char variant),缽,鉢,variant,,,MoE 標準字體 (@example 衣缽)
hook,掛鉤,鉤子,cross_strait,,,
destroy (char variant),銷毀,銷燬,variant,,,MoE 標準字體：「毀」為正體，「燬」為異體字
tempered glass,強化玻璃,鋼化玻璃,cross_strait,,,
record (video),錄影,錄像,cross_strait,,,
error message,錯誤訊息,錯誤信息,cross_strait,,,
keyboard layout,鍵盤配置,鍵盤布局,cross_strait,,,
needle (char variant),針,鍼,variant,,,MoE 標準字體 (@example 針灸、指南針)
link,連結,鏈接,cross_strait,,,
link library,連結函式庫,鏈接庫,cross_strait,,,
link,連結,鏈結,cross_strait,,,鏈結串列 (linked list) 為教育部核定資料結構術語，保留不替換 (@seealso 鏈表)
linked list,鏈結串列,鏈表,cross_strait,,,教育部重編國語辭典「表」指「分格或分項以列記事物的件」，linked list 作為資料結構，不具備任何「表」的意涵 (@seealso 鏈結)
image,映像檔,鏡像,cross_strait,ISO；Docker；安裝；燒錄；容器,,image file
close buddy,哥兒們,鐵哥們,cross_strait,,,
keychain,鑰匙圈,鑰匙扣,cross_strait,,,
learn something new,學到了；受教了,長知識,cross_strait,,,
portal system,入口網站,門戶系統,cross_strait,,,
web portal,入口網站,門戶網站,cross_strait,,,
gate circuit,閘電路,門電路,cross_strait,,,
flash memory,快閃記憶體,閃存,cross_strait,,,
start menu,開始功能表,開始菜單,cross_strait,視窗；桌面；工作列；程式,,
Open Mobile Alliance,開放行動聯盟,開放移動聯盟,cross_strait,,,
open source,開放原始碼,開源,confusable,軟體；軟件；程式；程式碼；社群；專案；GitHub；Linux；硬體；授權,,依據 MoE 重編國語辭典，「開源」指開發財源、增加收入（開源節流），與 open source 無關。tw 標準用語為「開放原始碼」
auspicious start,好采頭,開門紅,cross_strait,,,
idle process/idle task,閒置行程,閒置程序,cross_strait,,,"idle process/idle task。空閒→閒置 fixer 可能產生「閒置程序」，tw 標準為「閒置行程」(@seealso 空閒程序, 空閒程式)"
threshold,門檻值；臨界值,閾值,cross_strait,,,「閾」為罕用字，tw 多用「門檻值」
relational database,關聯式資料庫,關係數據庫,cross_strait,,,
follow/subscribe,追蹤,關注,cross_strait,訂閱；帳號；貼文；社群；粉絲；推特；臉書；IG；YT；追蹤者,,「關注」偏指 pay attention to，社群媒體語境語意不同
aspirin,阿斯匹靈,阿司匹林,cross_strait,,,
Azerbaijan,亞塞拜然,阿塞拜疆,cross_strait,,,@geo country (國名)
United Arab Emirates (UAE),阿拉伯聯合大公國,阿拉伯聯合酋長國,cross_strait,,,@geo country (國名)
Alzheimer's disease,阿茲海默症,阿爾茨海默,cross_strait,失智；疾病；記憶；老年,,
Alzheimer's disease,阿茲海默症,阿爾茨海默病,cross_strait,,,
addon,附加元件,附加組件,cross_strait,,,
qualifier,資格修飾詞；飾詞,限定修飾詞,cross_strait,,,
vacuum cleaner / dust collector,吸塵器,除塵器,cross_strait,,,
sarcastic / passive-aggressive,怪裡怪氣；假鬼假怪,陰陽怪氣,cross_strait,,,
queue,佇列,隊列,cross_strait,,,
RAM,隨機存取記憶體,隨機存取存儲器,cross_strait,,,
random number,亂數,隨機數,cross_strait,程式；軟體；系統；電腦；網路,,
latent semantic indexing,隱含語意索引,隱式語義索引,cross_strait,,,
incognito mode,無痕模式,隱身模式,cross_strait,,,
only,只,隻,confusable,影響；不過；能夠；需要；只要；只好,,OpenCC 轉換時可能誤植「只」(only) 為「隻」(counter for animals)
cardinality of a set,集合的基數,集合的勢,cross_strait,,,
integrated graphics,整合圖形,集成圖形,cross_strait,,,
integration test,整合測試,集成測試,cross_strait,單元；CI；自動化,,
IDE,整合式開發環境；整合開發環境,集成開發環境,cross_strait,,,
